[2020-12-20 22:19:01,859] -INFO: 生成接口自动化测试报告:2020_12_20-22_19_01_report.html
[2020-12-20 22:19:10,122] -INFO: 用例test_01_1 (firm.test_addfirm.Test_AddFirm)执行成功
[2020-12-20 22:19:11,326] -INFO: 用例test_01_2 (firm.test_addfirm.Test_AddFirm)执行成功
[2020-12-20 22:19:13,037] -INFO: 用例test_01_1 (firm.test_firmlist.Test_FirmList)执行成功
[2020-12-20 22:19:14,239] -INFO: 用例test_01_1 (login.test_login.Test_login)执行成功
[2020-12-20 22:19:14,550] -INFO: 用例test_01_2 (login.test_login.Test_login)执行成功
[2020-12-20 22:19:14,552] -INFO: -------接口测试流程测试完成----------
[2020-12-20 22:19:14,557] -INFO: 删除过期的报告:True
[2020-12-20 22:19:29,305] -INFO: -----------生成测试用例--------------
[2020-12-20 22:19:29,370] -INFO: 生成测试用例列表：['test_addfirm.py', 'test_firmlist.py', 'test_login.py']
[2020-12-20 22:19:29,371] -INFO: -------- 开始执行用例----------------
[2020-12-20 22:19:29,372] -INFO: 生成接口自动化测试报告:2020_12_20-22_19_29_report.html
[2020-12-20 22:19:31,386] -INFO: 用例test_01_1 (firm.test_addfirm.Test_AddFirm)执行成功
[2020-12-20 22:19:32,517] -INFO: 用例test_01_2 (firm.test_addfirm.Test_AddFirm)执行成功
[2020-12-20 22:19:33,857] -INFO: 用例test_01_1 (firm.test_firmlist.Test_FirmList)执行成功
[2020-12-20 22:19:35,431] -INFO: 用例test_01_1 (login.test_login.Test_login)执行成功
[2020-12-20 22:19:36,094] -INFO: 用例test_01_2 (login.test_login.Test_login)执行成功
[2020-12-20 22:19:36,095] -INFO: -------接口测试流程测试完成----------
[2020-12-20 22:19:36,101] -INFO: 删除过期的报告:True
